type,amount,oldbalanceOrg,newbalanceOrig,isfraud
CASH_OUT,89914,33957,15059,1
TRANSFER,29337,13908,48398,0
DEBIT,14219,96188,1286,1
TRANSFER,48453,95880,34297,0
DEBIT,15039,90570,26485,1
DEBIT,67623,91324,59967,0
CASH_IN,79453,78287,97803,0
DEBIT,57007,47482,54583,0
TRANSFER,62569,99329,51630,0
DEBIT,64902,98375,27086,0
CASH_IN,70419,38314,16484,0
CASH_IN,8645,74921,68623,0
TRANSFER,33075,83768,59263,0
PAYMENT,33793,15831,18675,0
PAYMENT,34162,20125,60664,0
DEBIT,58751,62451,24680,0
CASH_OUT,51512,45708,17077,1
DEBIT,29102,17682,38174,0
TRANSFER,17663,82824,76968,0
TRANSFER,98009,35794,3491,0
TRANSFER,99574,59372,46126,0
TRANSFER,40479,39477,3392,0
TRANSFER,86493,53863,62257,0
CASH_IN,59764,89941,67804,0
PAYMENT,29988,38737,38400,0
TRANSFER,87602,2620,36551,0
CASH_OUT,94553,35057,28088,0
CASH_OUT,43179,40138,80015,0
CASH_OUT,48297,79390,25465,0
CASH_OUT,54755,53024,48155,0
CASH_IN,5553,9677,87893,0
CASH_OUT,56402,44111,5969,0
TRANSFER,21077,24074,8981,0
DEBIT,51043,17824,21032,0
CASH_OUT,45266,765,54091,1
CASH_IN,90643,45439,24408,0
CASH_IN,69355,97151,24241,0
CASH_OUT,22201,48926,47940,0
DEBIT,86813,36860,82938,0
CASH_OUT,72752,12975,51105,0
CASH_IN,86603,74877,91302,0
PAYMENT,29002,93677,61050,0
TRANSFER,81541,77870,3657,0
CASH_IN,48813,81371,21230,0
CASH_OUT,63487,26548,18680,0
TRANSFER,13220,90575,82694,0
CASH_OUT,83339,98066,84731,0
CASH_OUT,26280,38736,42340,0
PAYMENT,62018,61562,35950,0
TRANSFER,5207,40409,78515,0
TRANSFER,7462,84101,7867,0
PAYMENT,41496,9834,80691,0
CASH_IN,14869,840,78542,0
CASH_OUT,27246,79409,4329,0
DEBIT,31909,31568,88087,0
CASH_OUT,32093,10846,35865,0
CASH_OUT,67718,5899,66940,0
CASH_IN,16673,86038,37869,0
CASH_OUT,93086,66101,66905,0
PAYMENT,19063,38773,83984,1
PAYMENT,11095,74723,89711,0
TRANSFER,30574,72762,66252,0
DEBIT,89755,4311,79386,0
CASH_OUT,59105,56888,1711,0
CASH_OUT,69527,41616,25801,0
CASH_IN,21163,52134,87287,0
PAYMENT,5257,91225,90709,0
DEBIT,10563,6083,53270,0
TRANSFER,20821,12598,71622,1
PAYMENT,95391,82476,55535,0
TRANSFER,6145,92416,76759,0
CASH_IN,5583,2580,16220,0
CASH_IN,79277,57395,13392,0
CASH_OUT,7199,42321,85587,0
DEBIT,80087,9386,2246,0
TRANSFER,43656,53171,20010,0
PAYMENT,76633,19522,68358,0
CASH_IN,53697,65532,90203,0
CASH_OUT,68322,91760,17234,0
CASH_OUT,27574,14635,96190,0
TRANSFER,28845,671,49451,0
CASH_IN,61597,33545,75205,0
DEBIT,7707,54079,21784,0
CASH_IN,80175,26855,29672,0
TRANSFER,73932,35790,1082,0
TRANSFER,17056,51012,11148,0
CASH_IN,57833,14260,27494,0
TRANSFER,73590,65139,75093,0
CASH_IN,53380,1074,51952,0
PAYMENT,9625,42676,36719,0
CASH_IN,5070,9475,48737,0
CASH_IN,76446,78414,59453,0
TRANSFER,60529,15120,39536,0
TRANSFER,71127,23147,50604,0
CASH_OUT,61168,1986,50833,0
CASH_OUT,34792,32430,14039,0
PAYMENT,85719,55479,67839,0
CASH_OUT,78543,82966,47931,0
CASH_IN,58265,2176,39925,0
TRANSFER,72694,84258,51003,0
CASH_OUT,56928,84153,83817,0
CASH_OUT,84294,61918,48897,0
PAYMENT,79568,27115,87745,0
PAYMENT,85559,77442,93709,0
CASH_IN,81432,40002,42287,0
TRANSFER,25266,57124,90726,0
PAYMENT,30015,6610,33012,0
CASH_OUT,6648,49752,41783,0
TRANSFER,37429,78947,85727,0
TRANSFER,33387,74716,68315,1
CASH_OUT,43126,47993,83766,0
PAYMENT,36644,10073,46491,1
CASH_OUT,82301,37251,88941,0
TRANSFER,23392,96496,58584,0
DEBIT,56073,71437,12803,0
DEBIT,22404,38897,49625,0
CASH_IN,67799,50906,93361,1
CASH_OUT,874,51616,13698,0
CASH_OUT,99582,4482,34560,0
CASH_IN,40232,90964,15376,0
CASH_IN,13676,72936,83654,0
CASH_IN,20965,39574,13117,0
TRANSFER,81855,43284,56381,0
CASH_OUT,69600,72932,37956,0
TRANSFER,66481,7338,48786,0
CASH_IN,88324,42718,87778,0
CASH_OUT,43308,12500,66480,0
TRANSFER,63118,11545,31695,0
TRANSFER,48934,61480,1511,0
CASH_IN,16719,5241,53233,0
CASH_OUT,9736,89314,22502,0
CASH_IN,60834,22821,50010,0
CASH_OUT,40552,4695,90341,1
DEBIT,20255,77066,92529,0
PAYMENT,34763,14318,73905,0
PAYMENT,79798,50934,46489,0
PAYMENT,21326,22331,83533,0
CASH_IN,84708,52672,81165,0
DEBIT,15970,91891,31949,0
CASH_OUT,30801,76860,68376,0
TRANSFER,25226,93685,79587,1
CASH_OUT,32477,68754,93059,0
TRANSFER,64437,85677,67310,0
CASH_OUT,62057,2837,78798,1
DEBIT,73300,40077,69407,0
TRANSFER,47024,79915,73809,0
CASH_IN,4088,4239,17229,0
CASH_OUT,78399,86348,27385,1
CASH_OUT,50529,29669,42176,0
TRANSFER,4052,48624,94825,0
CASH_IN,49062,75147,3260,0
CASH_IN,14399,4150,97555,0
DEBIT,95971,11109,3145,0
CASH_IN,68121,99750,97289,0
CASH_IN,93725,26016,7802,0
CASH_IN,50743,11936,2263,0
PAYMENT,34764,11036,26913,0
DEBIT,18634,39236,57788,0
CASH_OUT,85896,14021,8155,0
TRANSFER,26691,36943,922,0
CASH_OUT,89534,81007,72231,0
DEBIT,81016,50016,20672,0
TRANSFER,24714,23244,38526,0
DEBIT,94923,63027,45344,0
CASH_IN,94118,38985,19014,0
TRANSFER,7503,1502,73352,0
CASH_IN,69649,53836,91279,0
CASH_OUT,54393,99714,40324,0
CASH_OUT,3004,3770,94075,1
TRANSFER,69290,42865,95638,0
TRANSFER,47244,53811,38698,0
DEBIT,47301,4001,77169,0
DEBIT,92878,60848,23384,0
CASH_IN,5604,52635,3512,0
TRANSFER,7381,20946,6066,0
CASH_OUT,47325,66134,31500,0
DEBIT,83574,95852,78743,0
DEBIT,79536,91103,85642,0
CASH_OUT,16636,92044,79858,0
DEBIT,86015,43744,54800,0
CASH_IN,7140,39159,63140,0
TRANSFER,6838,95812,84954,0
CASH_OUT,57524,23671,2387,0
TRANSFER,52674,16450,56160,0
DEBIT,17893,14908,59241,0
DEBIT,43069,57275,73567,0
CASH_OUT,84088,44358,1799,0
CASH_IN,42942,49047,35548,0
PAYMENT,61279,35518,33895,0
CASH_OUT,75996,57813,90450,0
PAYMENT,85969,96748,80171,0
PAYMENT,2045,6806,40379,0
CASH_IN,40755,40891,45414,0
PAYMENT,17251,83551,73071,0
PAYMENT,52985,39220,68344,0
CASH_IN,23164,17158,78591,0
PAYMENT,25635,80992,93141,0
PAYMENT,44960,27588,92201,0
PAYMENT,98612,62576,98303,0
CASH_OUT,56406,88027,4297,0
CASH_OUT,99237,24188,86479,0
CASH_OUT,13341,92615,98752,0
CASH_IN,63937,58830,5008,0
DEBIT,86236,4019,86813,0
PAYMENT,84729,12419,16820,0
PAYMENT,63024,33697,71548,0
CASH_IN,39356,84932,22253,0
PAYMENT,70421,95428,29202,0
CASH_OUT,54488,7973,29236,0
DEBIT,12264,86649,67156,0
TRANSFER,55744,11136,60263,0
PAYMENT,28631,84739,99252,0
CASH_OUT,76451,62502,74855,0
TRANSFER,46131,31285,16575,0
DEBIT,81428,23039,12204,0
TRANSFER,60207,66720,11952,0
CASH_OUT,84587,88263,83323,0
TRANSFER,94644,59155,51142,0
CASH_IN,42441,16911,33872,0
TRANSFER,99255,916,29376,0
PAYMENT,4847,59052,66084,0
PAYMENT,90035,69110,11640,0
CASH_IN,83173,17790,26437,0
CASH_OUT,71242,83161,87681,0
PAYMENT,49004,5206,7903,0
DEBIT,79089,85053,83704,0
PAYMENT,12625,49950,26863,0
PAYMENT,1476,56361,43381,0
CASH_OUT,30781,61451,28548,0
TRANSFER,83896,37696,49956,0
PAYMENT,65921,81641,74526,0
CASH_IN,98576,68226,11467,0
TRANSFER,20756,46728,57954,0
DEBIT,88432,55401,23901,0
CASH_OUT,60749,66226,55983,0
DEBIT,98197,25103,23301,0
TRANSFER,73379,34263,85180,0
TRANSFER,1903,76621,69903,1
TRANSFER,30583,50044,16204,0
DEBIT,96917,57730,19755,0
TRANSFER,40884,25825,59817,0
DEBIT,77372,76256,2093,0
TRANSFER,99966,37271,69537,0
CASH_IN,87470,77256,96319,0
TRANSFER,33377,46732,22940,0
DEBIT,21209,66433,73346,0
PAYMENT,91414,82630,44040,0
TRANSFER,74338,23572,37322,0
PAYMENT,57734,38546,91544,0
CASH_IN,86143,15150,84437,0
CASH_OUT,36415,54165,92969,0
CASH_IN,98242,63690,87725,0
TRANSFER,15999,53664,94266,0
PAYMENT,28941,82335,9236,0
PAYMENT,9300,75199,72597,0
DEBIT,38377,36948,84124,0
PAYMENT,79888,37030,3902,0
DEBIT,90487,27007,99656,0
CASH_OUT,79491,91207,34364,0
TRANSFER,76308,90921,98983,0
DEBIT,30143,76772,94410,0
CASH_OUT,27062,22024,20096,1
PAYMENT,85499,39384,12020,0
PAYMENT,40485,82912,58473,0
CASH_OUT,82676,18157,44153,0
PAYMENT,96632,85481,41277,0
CASH_OUT,57666,88553,87221,0
DEBIT,4643,1756,38502,0
DEBIT,17314,68112,15675,0
CASH_OUT,97830,91003,24365,0
DEBIT,46556,96741,87812,0
DEBIT,7018,58051,78229,1
DEBIT,48301,64595,89049,0
CASH_IN,27415,78210,52148,0
TRANSFER,36396,43094,89157,0
PAYMENT,90919,87889,89247,0
CASH_IN,20837,95385,93321,0
DEBIT,33050,4535,68078,0
CASH_OUT,60364,56035,82598,0
DEBIT,78553,47367,70902,0
TRANSFER,18167,17118,26465,0
DEBIT,97703,59812,32286,0
CASH_OUT,35325,59884,54795,0
TRANSFER,35942,66168,40178,0
DEBIT,21174,13280,79183,0
TRANSFER,14424,14746,49986,1
PAYMENT,14337,53251,43201,0
PAYMENT,956,84821,43315,0
DEBIT,14703,83583,75396,0
TRANSFER,27251,10207,55178,0
CASH_OUT,95800,71127,10745,0
DEBIT,15550,27757,72354,0
PAYMENT,72265,16226,79637,0
PAYMENT,64767,95268,5028,0
DEBIT,41213,61407,98261,0
TRANSFER,25091,27206,48566,0
PAYMENT,61871,20256,43722,0
TRANSFER,11360,33822,86623,0
PAYMENT,55522,41340,74974,0
PAYMENT,56819,52234,83692,1
CASH_IN,97567,43351,84084,0
PAYMENT,42842,48671,39879,0
CASH_OUT,28379,75320,24767,0
DEBIT,31738,35157,68099,0
DEBIT,17586,19937,48657,0
TRANSFER,29011,54290,8498,0
PAYMENT,83394,46707,73667,0
CASH_OUT,400,11219,25107,0
TRANSFER,87545,9399,28793,0
CASH_IN,45446,98848,2696,0
TRANSFER,11579,27657,53839,0
TRANSFER,13039,20047,89241,0
PAYMENT,22500,76095,23397,0
CASH_IN,45885,85693,7704,0
TRANSFER,5877,72154,16442,0
CASH_OUT,80830,44891,63788,0
CASH_OUT,99525,6780,9765,0
DEBIT,9131,27050,10002,0
CASH_IN,1549,73551,11390,0
CASH_IN,91034,68666,44436,0
DEBIT,17037,93619,84482,0
TRANSFER,74239,82016,6641,0
CASH_IN,8931,53010,33709,0
CASH_OUT,50445,38165,39309,0
CASH_OUT,10320,11528,15624,0
PAYMENT,63975,49608,9966,0
CASH_IN,96454,5914,89350,0
TRANSFER,69932,37136,34189,0
DEBIT,97809,11179,71301,0
DEBIT,93958,86008,95758,0
TRANSFER,82849,12076,17223,0
PAYMENT,12252,24783,78183,0
DEBIT,8957,46716,4959,0
CASH_IN,71476,50298,27257,0
PAYMENT,61826,54304,97520,0
CASH_IN,48795,79360,50802,0
CASH_OUT,517,69835,87748,0
PAYMENT,66982,8118,27215,0
DEBIT,27161,76292,55046,0
PAYMENT,11628,56911,94593,0
PAYMENT,74296,73489,34094,0
PAYMENT,16132,15185,38669,0
PAYMENT,7364,41792,36126,0
CASH_IN,30989,80210,99889,0
CASH_OUT,86446,50613,79036,0
TRANSFER,79386,33927,16772,0
PAYMENT,52784,386,48586,0
DEBIT,5047,92153,51943,0
PAYMENT,28643,72728,68868,0
DEBIT,24505,76281,49855,0
CASH_IN,64560,30020,22218,0
DEBIT,81394,42678,81008,0
TRANSFER,36493,86695,57205,0
CASH_OUT,73383,61394,4959,0
DEBIT,34079,68945,82979,0
DEBIT,7380,56414,45134,0
CASH_OUT,71957,54816,25874,0
TRANSFER,39143,55918,1301,0
PAYMENT,96045,91281,58017,0
DEBIT,95771,62694,43319,0
CASH_OUT,702,29455,89616,0
CASH_IN,28936,38735,86219,0
CASH_OUT,99792,94702,95192,0
CASH_IN,73994,93608,22455,0
TRANSFER,43400,12109,4112,0
PAYMENT,49603,45802,57033,0
CASH_OUT,75619,68020,58360,0
DEBIT,5219,34622,82418,0
TRANSFER,6543,2597,32145,0
CASH_OUT,86607,40597,32735,0
DEBIT,7221,40954,72781,0
CASH_OUT,9937,69519,67641,0
CASH_IN,77473,56115,21711,0
CASH_OUT,24604,43151,5630,0
CASH_OUT,74862,17040,65488,1
CASH_OUT,77723,44772,3206,0
TRANSFER,76392,96090,56289,0
CASH_OUT,7943,63832,18953,0
DEBIT,40706,27916,10068,0
CASH_IN,65459,44871,78930,0
CASH_IN,67626,26372,55916,0
CASH_OUT,6099,61707,1067,0
TRANSFER,56558,39080,50658,0
TRANSFER,26133,42722,52165,0
DEBIT,7807,29048,80781,0
CASH_OUT,50023,85205,9859,1
CASH_IN,8356,9777,29164,0
TRANSFER,85424,54711,80913,1
CASH_OUT,33682,36331,99251,0
TRANSFER,17663,20968,20773,0
TRANSFER,49566,53969,57295,0
CASH_IN,26150,11292,33939,0
PAYMENT,1194,40794,48599,0
DEBIT,34503,79459,6114,0
DEBIT,44158,50192,98475,1
CASH_IN,24856,27703,12818,0
TRANSFER,22205,84193,9335,0
CASH_OUT,5616,69165,55008,0
TRANSFER,3966,67650,71745,0
CASH_IN,16565,56516,43148,0
DEBIT,90395,99981,3577,0
TRANSFER,18700,91110,73916,0
DEBIT,58512,97885,4076,0
CASH_OUT,48859,22257,32925,0
DEBIT,26357,83509,51869,0
DEBIT,98735,91273,59314,0
PAYMENT,91331,51672,41205,1
PAYMENT,49066,63308,11095,0
PAYMENT,63861,77583,84715,0
DEBIT,98244,22113,56680,0
CASH_IN,81512,694,28400,1
DEBIT,96643,15588,84297,0
CASH_IN,81428,61756,67346,0
CASH_IN,70221,64085,87110,0
PAYMENT,41860,61142,28562,0
TRANSFER,78555,64373,40663,0
CASH_OUT,27853,85603,18510,1
PAYMENT,62330,6704,61608,0
PAYMENT,29803,40136,72489,1
TRANSFER,39526,67507,52182,0
CASH_OUT,17867,47361,87667,0
DEBIT,19637,58847,26883,0
DEBIT,61832,11441,71427,0
PAYMENT,84111,97012,35844,0
CASH_OUT,91571,14677,18728,0
PAYMENT,52258,27818,98923,0
CASH_IN,55808,1868,11094,0
PAYMENT,93378,83591,2407,0
PAYMENT,44126,67264,55412,0
DEBIT,75328,73168,12644,0
DEBIT,87912,12043,85834,0
DEBIT,28567,71939,60746,0
CASH_IN,71344,15732,52748,0
DEBIT,75173,55244,59021,0
CASH_OUT,78012,18526,62651,0
TRANSFER,42624,9340,36807,0
CASH_OUT,12730,22394,34072,0
CASH_OUT,57618,98557,38398,0
DEBIT,72105,4102,28669,0
TRANSFER,84704,19159,30161,0
TRANSFER,96462,65092,7282,0
TRANSFER,87603,6212,26539,0
CASH_IN,35902,97360,3307,0
DEBIT,77252,37405,17745,0
TRANSFER,77616,77061,39433,0
CASH_IN,934,94296,34555,0
PAYMENT,51332,55186,1073,0
PAYMENT,26488,44239,32683,0
CASH_IN,71052,92993,25741,0
CASH_IN,46428,10532,22286,0
DEBIT,62227,79054,3599,0
DEBIT,90150,72012,27293,0
PAYMENT,80856,85279,15389,0
TRANSFER,73772,66540,12318,0
PAYMENT,11791,3271,48875,0
TRANSFER,5525,45482,3055,0
TRANSFER,36143,209,82579,0
DEBIT,82518,90999,6320,0
CASH_OUT,97638,5539,4642,0
CASH_OUT,76956,19977,92694,0
CASH_IN,85068,74142,9321,0
DEBIT,9105,99588,79968,0
TRANSFER,88593,68684,88293,0
CASH_OUT,20480,99072,59618,0
TRANSFER,43139,5607,26044,0
CASH_OUT,8541,85122,21971,0
CASH_OUT,37048,94786,25727,0
CASH_OUT,87949,51939,22559,0
DEBIT,42684,18594,73820,1
PAYMENT,94668,58382,83201,0
TRANSFER,82486,7399,27476,1
DEBIT,29841,25117,62683,0
DEBIT,57184,98662,10991,0
DEBIT,11289,33617,85097,0
DEBIT,38230,7498,70047,0
DEBIT,60620,50624,10796,0
CASH_IN,52729,9628,3881,0
TRANSFER,53061,329,15668,0
DEBIT,72023,38619,34312,0
TRANSFER,56662,7032,28106,0
CASH_IN,65534,48094,92758,1
CASH_IN,82946,38034,15729,0
TRANSFER,6480,86158,70320,0
CASH_OUT,67608,55264,54913,0
PAYMENT,41808,94120,57026,0
CASH_OUT,53483,47850,59402,0
CASH_OUT,19890,4722,37282,0
CASH_OUT,44449,17772,99449,0
DEBIT,14318,86105,74638,0
CASH_IN,91573,41679,38218,0
CASH_OUT,96266,68771,17950,0
CASH_IN,35091,4576,59739,0
TRANSFER,75252,26707,4507,0
PAYMENT,50393,99404,46303,0
TRANSFER,9847,41632,79059,0
TRANSFER,52161,41476,24667,0
DEBIT,36834,30285,3992,0
PAYMENT,33083,24154,73563,0
TRANSFER,97634,20054,87680,0
TRANSFER,93658,17165,25530,1
PAYMENT,26309,14439,15305,0
PAYMENT,58871,44518,52129,0
TRANSFER,30073,88051,87267,0
PAYMENT,69463,26962,86209,1
TRANSFER,68482,53934,98833,0
TRANSFER,14516,37763,52044,0
DEBIT,94351,64094,91378,0
CASH_OUT,79864,19464,89363,0
TRANSFER,26036,42036,58817,0
CASH_IN,27682,95949,46666,0
CASH_OUT,38427,33270,26173,1
CASH_OUT,52423,42299,18909,0
CASH_OUT,65076,85805,63967,0
DEBIT,59223,31541,31007,0
TRANSFER,50981,73545,12985,1
DEBIT,27291,82543,22525,0
TRANSFER,28101,91998,37403,0
DEBIT,50504,77078,37193,0
DEBIT,18620,82970,3830,0
CASH_IN,1089,29765,56144,0
DEBIT,95396,23769,533,0
PAYMENT,46761,88001,20946,1
CASH_IN,86136,87404,23504,0
DEBIT,55442,20156,55715,0
CASH_OUT,30961,85836,28255,0
PAYMENT,80873,50481,56441,0
PAYMENT,78301,13435,36855,0
PAYMENT,59882,69650,41721,1
CASH_IN,7245,46336,41850,0
DEBIT,82743,36135,34723,0
DEBIT,62722,73631,35739,0
CASH_OUT,21483,37909,5539,0
CASH_OUT,67577,69487,73029,0
PAYMENT,79833,21468,64509,0
CASH_OUT,32240,92609,21311,0
CASH_IN,84583,47655,69180,0
DEBIT,92598,34341,85981,0
PAYMENT,68886,64182,35934,0
CASH_OUT,40654,51786,9511,0
CASH_IN,48674,68304,183,0
CASH_IN,45213,46514,9475,0
CASH_OUT,66687,33979,84766,0
DEBIT,25435,90887,63130,0
CASH_OUT,84827,80981,59577,0
PAYMENT,85971,55107,26008,0
CASH_OUT,97659,1160,76868,0
CASH_IN,69816,87897,47941,0
CASH_OUT,42824,72577,42756,0
DEBIT,70229,84303,70258,0
TRANSFER,49656,10846,80730,0
CASH_OUT,39894,19924,92167,0
DEBIT,95355,13882,27912,0
DEBIT,69332,80274,82702,0
CASH_IN,21660,86555,50659,0
DEBIT,94252,1095,46840,0
DEBIT,9200,40983,81512,0
DEBIT,38206,14123,38623,0
DEBIT,39459,93668,63303,0
PAYMENT,39671,66615,46062,0
PAYMENT,29719,95193,56690,0
CASH_IN,80438,45278,77582,0
CASH_OUT,75189,97911,98980,0
DEBIT,9953,90290,23634,0
CASH_OUT,43250,51999,4090,0
CASH_OUT,45770,31153,45266,0
CASH_IN,21052,18344,30008,0
DEBIT,43904,99777,87643,0
DEBIT,6879,37656,58704,0
TRANSFER,61088,70515,62866,1
CASH_OUT,56769,1212,8382,0
CASH_OUT,44316,9001,47774,0
PAYMENT,55381,78784,74570,0
TRANSFER,20928,98723,74062,0
PAYMENT,28389,81144,89609,0
PAYMENT,90820,36427,46698,0
PAYMENT,83242,31368,1110,0
CASH_IN,2972,70819,81981,0
CASH_IN,13861,61160,386,0
PAYMENT,45757,25854,58513,0
TRANSFER,52359,10715,84120,0
CASH_OUT,70842,81701,99987,0
TRANSFER,56366,58784,47801,1
DEBIT,14755,99644,96085,0
CASH_IN,5740,26797,71857,0
CASH_OUT,13931,47573,89976,0
CASH_OUT,98440,76120,31566,0
DEBIT,71148,14780,32521,0
DEBIT,83121,37905,23798,0
PAYMENT,19033,21573,13565,0
CASH_IN,45359,33359,23027,0
CASH_IN,81543,66062,97631,0
TRANSFER,83296,73391,5631,0
PAYMENT,41989,43463,89865,0
PAYMENT,22847,99596,56878,0
PAYMENT,15007,95018,45206,0
PAYMENT,88613,16571,58582,0
CASH_IN,45049,97276,58334,0
CASH_IN,20933,19142,72323,0
PAYMENT,8886,25104,53619,0
TRANSFER,60983,8625,26875,0
CASH_OUT,2897,39199,24514,0
CASH_OUT,63733,15926,22580,0
TRANSFER,42432,31218,85827,0
PAYMENT,51423,44472,4288,0
CASH_IN,2851,91916,6734,0
CASH_OUT,28766,20566,83000,0
DEBIT,71586,56125,39008,0
DEBIT,10314,33205,49349,0
TRANSFER,30351,29717,7814,0
PAYMENT,4768,49984,43154,0
CASH_OUT,17020,25135,7851,0
PAYMENT,60768,28164,1600,0
CASH_OUT,31668,74489,56614,0
TRANSFER,49012,38562,72402,0
TRANSFER,1385,69110,3692,0
DEBIT,99495,20169,58027,0
PAYMENT,22102,59858,20373,1
DEBIT,500,21604,98636,0
PAYMENT,3739,89670,62805,0
DEBIT,5984,88738,80383,0
CASH_IN,85226,684,14507,0
CASH_IN,83870,8007,62931,0
CASH_IN,96880,41787,75499,0
CASH_IN,21408,49582,71642,0
CASH_OUT,34660,74791,72869,0
CASH_IN,21302,97798,97449,0
TRANSFER,3169,83629,96819,1
TRANSFER,98172,5782,39423,0
CASH_OUT,62776,66770,95351,0
CASH_IN,94897,57645,86120,0
CASH_IN,17075,99724,90918,0
CASH_IN,21648,31996,66600,0
DEBIT,1083,29204,41848,0
PAYMENT,46521,17152,6820,0
DEBIT,84317,55186,8512,0
PAYMENT,29330,90555,36725,0
CASH_IN,69886,85024,51534,1
CASH_IN,34934,19689,85151,0
DEBIT,81730,50690,39776,0
DEBIT,40744,94042,60945,0
PAYMENT,68126,83251,83420,0
TRANSFER,40035,57320,47455,1
PAYMENT,94513,64226,83488,0
DEBIT,2169,56091,52433,0
DEBIT,48950,79301,9711,0
CASH_OUT,79446,21942,59262,0
DEBIT,76986,38712,86009,0
CASH_OUT,14688,65277,83785,1
TRANSFER,61085,49632,9597,0
PAYMENT,47214,38031,60067,1
PAYMENT,12031,20478,87520,0
